Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
List of City funds that provide CDGA money,CBS_FUND,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16813,NULL,22.0,0,NULL
List of delegate business type,CORPORATE_STATUS,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16819,NULL,22.0,0,NULL
List of delegates that have registered,DELEGATE,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16832,NULL,22.0,0,NULL
List of City departments managing CDGA programs,DEPARTMENT,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16850,NULL,22.0,0,NULL
Applications for Homelessness programs managed by HUD,DHS_APPLICATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16857,NULL,22.0,0,NULL
Homelessness program applicants information on building codes compliance,DHS_BUILDING_CODES,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16869,NULL,22.0,0,NULL
Homelessness program applicants information on facility details,DHS_BUILDING_SYSTEMS,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16886,NULL,22.0,0,NULL
For applicants that provide congregate apartments.,DHS_CONGREGATE_HOUSING,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16904,NULL,22.0,0,NULL
Homelessness program applicants information about their facilities,DHS_FACILITY,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16930,NULL,22.0,0,NULL
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16954,NULL,22.0,0,NULL
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16969,NULL,22.0,0,NULL
Homelessness program applicants facilities not currently operating at proposed location.,DHS_NEW_SITE_INFORMATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_16989,NULL,22.0,0,NULL
Homelessness program. If applicant owns their facility,DHS_OWNERSHIP_INFORMATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_17004,NULL,22.0,0,NULL
Homelessness program applicants program details,DHS_PROGRAM_INFORMATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_17047,NULL,22.0,0,NULL
For applicants that provide individual apartments.,DHS_PROJECT_BASED_APTS,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,VERSION_17062,NULL,22.0,0,NULL
Homelessness program applicants information on safety and security,DHS_SAFETY_SYSTEMS,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17076,NULL,22.0,0,NULL
Additional agencies that applicant refers clients to.,DHS_SERVICE_LINKAGE,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17088,NULL,22.0,0,NULL
For applicants that applying for a non-residential program or social service program,DHS_SOCIAL_SERVICES,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17103,NULL,22.0,0,NULL
List of City department divisions or bureaus managing CDGA programs,DIVISION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17116,NULL,22.0,0,NULL
Department evaluations of applications,EVALUATION,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17122,NULL,22.0,NULL,NULL
list of evaluation ratings,EVALUATION_FUNDING,VERSION,VERSION,The CDGA webapp will increment this column by 1 every time that a given record is updated,The CDGA webapp will increment this column by 1 every time that a given record is updated,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,VERSION_17142,NULL,22.0,0,NULL
